,Topic,Count,Name,Representation,Representative_Docs
2567,2566,7,2566_milliarden_kunstgriff_erleichterten_gequetschtes,"['milliarden', 'kunstgriff', 'erleichterten', 'gequetschtes', 'milli', 'meistbietend', 'wuche', 'zahlungsfrist', 'verschluckt', 'mortis']","['Apothecker Recht und Gewerb, und was der Sach anhängig, an den Meistbietend anständigen verkaufet werden solle) und zwar mit Einschliessung deren immit telst einfallenden Ferien, unter der Clausul der Ausschlüssung und Auflegung des ewigen Still schweigen, für den erst andert und dritten perempto rischen Termin hiemit angesetzt seye.', 'Daher hat denn auch die Finanz Kom mission im Rathe der 500 am  May durch Beffroi vorgestellt, dass erwähntes Vorgeben blos ein Kunstgriff der Wuche rer, und ohne Grund  Zum Beweise führte er an, dass in Paris 132 Auswechs lungs Aemter eröffnet werden sollen, und jeder Bürger täglich für 400, 000  Assig nate würde auswechseln können; nach die ser Rechnung sey erwiesen, dass ohne alle Beschwerlichkeit, in einem Tage 5 Milli arden und 500 Millionen würden umge setzt werden können, welches in 3 Tagen bis 22 Milliarden betrüge: nun seyn offen bar mehr nicht als 21 Milliarden Assigna ten im wirklichen Umlauf, und wenn dem nach alle in Paris allein wären, so könn ten sie in 3 Tagen ausgelöset seyn.', 'Nach eingenommenem Mittagmahle  jejuno enim stomacho id tacere verebat mortis timor, hat   Kropf nur ein einziges gequetschtes Blätchen von der Blüthe verschluckt, und empfand in unterschiedlichen Theilen des untern Leibes die heftigsten reissen den Schmerzen, mit convulsivischen Bewegungen, und leichten Ohnmachten durch eine Vier telstunde;  Tropfen von dem peruvianischen Balsam erleichterten dieselben zwar, aber ein guter Trunk Wasser hat sie innerhalb  Minuten gänzlich gestillet.']"
2568,2567,7,2567_simmering_gerhof_buchsamt_660,"['simmering', 'gerhof', 'buchsamt', '660', 'gamin', 'waizenegger', 'aufschlüsse', 'nutzungen', 'angerübmte', 'sympathetische']","['Nähere Nachricht ist bey Herrn Waizenegger im mitteren Gamin gerhof  660 unweit des rothen Thurms von 7 Kuhrfürsten über einzuholen.| Bedienter wird gesucht.', 'Von dem   Staatsgüteradministrationsgrund buchsamt wird hiemit bekannt gemacht: es sey auf Ansuchen der Frau Zezilia  Preyser, wider Franz Winter behausten Unterthan zu Simmering, und Theresia dessen Ehewirthin, in die Feilbietung der gegentheiligen, der   Kammeralherrschaft Him melpforte dienstbaren, auf 575  geschätzten Be hausung zu Simmering  182, sammt dazu gehörigen Erbpachtsgrundstücken, gewilliget worden.', 'Capital cumsuacausa vor diesem Gericht geklaget, den Ansatz erhalten, und sich durch den edlen Franz  Widtmann, der     Land tafel Vice registratorem und Executions führer in specie auf des Herrn beklagten Johann Caspar Grafens von Preysing Allodial guth Artstetten, und dessen Appertinentien und Nutzungen, so viel und lang bis ihnen Klägern das libellirte Capital samt Jnteressen, Expensen, Schaden, und Un kösten so viel hierüber geloffen, oder noch ferner laufen möchten, allerdings bezahlet worden, je doch über die darauf haftende Onera auf die Ueber maass der Gerichts ordnung gemäss ansetzen und inhibiren lassen, der Gräfl.']"
2569,2568,7,2568_post_schild_nachricht_,"['post', 'schild', 'nachricht', '', '', '', '', '', '', '']","['Schild.', 'Post.', 'Post.']"
2570,2569,7,2569_demje_proportion_verschaffet_demhohengefolge,"['demje', 'proportion', 'verschaffet', 'demhohengefolge', 'tieftraurendenpersonenvon', 'aufmerksame', 'belohnung', 'bessern', 'ailleurs', 'differente']","[""Il est d'ailleurs composé sur un tout autre plan; il fera traité d'une maniere totalement differente."", 'Er verspricht auch demje nigen, welcher ihm einen bessern Dienst, als er dermal hat, verschaffet, nach Proportion eine ansehnliche Belohnung.', 'Er verspricht auch demje nigen, welcher ihm einen bessern Dienst, als er dermal hat, verschaffet, nach Proportion eine ansehnlicher Belohnung.']"
2571,2570,7,2570_desweitern_beträgliches_magnisicenz_alltäglichhindan,"['desweitern', 'beträgliches', 'magnisicenz', 'alltäglichhindan', 'balls', 'hervorgeleuchtet', 'herrschaftzueinenherrlichensommersitzbenutzen', 'dassesauchjede', 'laurenschiz', 'lederergewerbsbetrieb']","['Es ist jedermänniglich zu wissen, wie dass ein gutgebautes, in einer guten und schönen Lage allhier in Wien in der Stadt liegendes grosses, auch sehr beträgliches Haus alltäglichhindan zu lassen ist, wer dann zu solchen Belieben trägt, hat sich hierinfalls bey den wienerischen Verle gern des Diarii im Michaelerhaus desweitern Vernehmen zu erkundigen.', 'Gnaden, sowol in dem, was das Jnnere dero Hotels die Tafeln, angestellte Schauspiele, Balls  betrift, als auch bey allen öffentlichen Vorfallenheiten, im Be tracht der Grösse, Zierlichkeit und Pracht dero gesammten Hof staats und Equipagen, mit ausnehmender Magnisicenz und Glanz besonders hervorgeleuchtet haben.', 'Das Haus ist erst vor 6 Jahren ganz neu geräumig gebauet, und zum Lederergewerbsbetrieb mit allen dazu gehörigen Einrichtungen vollkommen neu her gestellt geworden; das Gewerb ist zwar nicht dar auf radicirt, jedoch nihmt die Herrschaft Tozenbach keinen Anstand, statt den verstorbenen Lederermei ster Felix Laurenschiz einen Mann mit den erfor derlichen Eigenschaften neuerdings die Personalbe fugniss, und zwar nach dem Sinne des §.']"
2572,2571,7,2571_arbeit_stempel_einlegung_fürgenom,"['arbeit', 'stempel', 'einlegung', 'fürgenom', 'permandatariossufficienterinstructos', 'expost', 'gitimationsdokumenten', 'liquidations', 'lehardy', 'haken']","['Durch dergleichen Druck Fehler nun wird also der Haupt Nutzen solcher medicinischen Artikel vereitelt, der Ruhm des Verfassers und seiner Arbeit geschwächt, und, was das traurigste ist, Scha den bey Menschen und Vieh angerichtet.', 'entweder selbst per sönlich, oder durch hiezu genugsam instruirte Bevollmächtigte alsogewiss zu erscheinen, ihre Foderungen mittels Einlegung der behörigen Stempel versehenen Liquidations und Legitimationsdokumenten anzumelden ha ben, wie im widrigen die Abhandlung ohne weiteren Zuwarten vorgenommen, und unge hindert der etwa vorhandenen Gläubigern welche sich mit ihren Foderungen in dieser be stimmten Zeit nicht angemeldet, sothane Ver lassenschaft eingeantwortet, auch sonst exofficio vorgekehret werden würde, was Rechtens  Wien den  Oktob.', 'Solchemnach werden all und jede, welche bey gedachter Verlassenschaft um rechtmässiger Fo derung willen einige Sprüche haben, oder zu haben vermeinen, an obbestimmten Tag und Stund in der in dem hofkriegsräthlichen Ge bäude am Hof im 3ten Stock befindlichen Kanz ley dieses      Mixti, entwe der selbst persönlich, oder durch genugsam Be vollmächtigte alsogewiss zu erscheinen, und ihre Foderungen mittels Einlegung der mit behöri gen Stempel versehenen Liquidations und Le gitimationsdokumenten anzumelden haben, wie im widrigen die Abhandlung ohne weiteren zu warten vorgenommen, und ungehindert der et wa vorhandenen Gläubigern, welche sich mit ihren Foderungen in dieser bestimmten Zeit nicht angemeldet, sothane Verlassenschaft den instituirten Erben eingeantwortet, auch sonst exofficio vorgekehret werden wurde, was Rech tens  Wien den  Decemb.']"
2573,2572,7,2572_kristek_wischau_mauter_rauchsangkehrer,"['kristek', 'wischau', 'mauter', 'rauchsangkehrer', 'coburg', 'cavriani', 'salieri', 'merer', 'friderich', 'knaben']","['Rauchsangkehrer, von Salieri.', 'Wischau, Kristek.', 'Wischau, Kristek.']"
2574,2573,7,2573_faustpfand_brillantringes_grosshändlers_procentigen,"['faustpfand', 'brillantringes', 'grosshändlers', 'procentigen', 'ovalen', 'schuldi', '280', 'weinberg', 'erbkönigreiche', 'gendrittenausbietungumdenschätzungswerth']","['haben für das Kö nigreich Böhmen folgendes Patent er lassen: Wir Leopold der Zweyte   Um die Erbfolge in die Bauerngüter auch in Unserem Erbkönigreiche Böhmen auf eine der Gerechtigkeit und der Beför derung des dem allgemeinen Wohl so wich tigen Feldbaues angemessene Art zu ord nen, haben Wie für zuträglich befun den, sowohl das unter dem Aprildes Jahrs 1787. erlassene Patent, als die darauf sich beziehenden Anordnungen vom  November 1787,  May,  Sep tember und  Oktober 1788, vom  Junius 1789, und  Febr.', 'Grosshändlers allhier, wider den Joseph  Weinberg, wegen schuldi gen 300  sammt 4 procentigen Jnteressen vom  August 1794 in die Feilbietung eines zum Faustpfand gegebenen, und auf 280  gerichtlich geschätzten ovalen Brillantringes, gewilliget, auch hiezu für den letzten Termin der  Juli   mit vom Anhang bestimmt worden, dass, wenngesagterBrillantenringbeyderdermali gendrittenAusbietungumdenSchätzungswerth 1860| nicht sollte an Mann gebracht werden können, solcher auch unter der Schätzung hindangegeben werden würde.', 'Grosshändlers allhier, wider den Joseph  Weinberg, wegen schuldi gen 300  sammt 4 procentigen Jnteressen vom  August 1794 in die Feilbietung eines zum Faustpfand gegebenen, und auf 280  gerichtlich geschätzten ovalen Brillantringes, gewilliget, auch hiezu für den letzten Termin der  Juli   mit dem Anhang bestimmt worden, dass, wenn gesagter Brillantenring bey der dermali gen dritten Ausbietung um den Schätzungswerth nicht sollte an Mann gebracht werden können, solcher auch unter der Schätzung hindangegeben werden würde.']"
2575,2574,7,2574_neurissäckern_fischamend_krautgarten_radizirien,"['neurissäckern', 'fischamend', 'krautgarten', 'radizirien', 'licitationsbetrages', 'beschildeten', 'manow', 'corillaolimpica', 'lorbeerkranz', 'paniglgasse']","['Ver muthlich wird die CorillaOlimpica noch den dichterischen Lorbeerkranz auf dem Ka pitel davon tragen.', 'Am    ist ein mit Senften und anderen Oesterreichischen Gütern beladenes, nach dem schwar zen Meere bestimmtes Fahrzeug, wel ches dem Russischen Kaufmanne Fill manow gehört( und dessen schon in  Zeitungen erwähnet worden) an den Ufern der Donau bey Peterwardein an gekommen.', 'Batthyanischen Herrschaft des Markts Fischamend wird hiemit bekannt gemacht: es sey in die neuerliche öffentliche Versteigerung der in die Jgnaz Altingerische Verlassenschaftsmasse gehörigen Realitäten, als der Ganzlehenbehausung  12 im Markte Fischamend, sammt hiezu ge hörigen 32 Joch Haus und 8 Joch Neurissäckern, dann 1 Krautgarten, und der auf der Behausung radizirien zun 3 Kronen beschildeten Gastgebge rechtigkeit, nebst bey dem Hause befindlichen guten Körnereinsetzen und dazugehörigen abgesonderten Jn leutstöckel; ferner die Halblehenbehausung  25, sammt hiezu gehörigen 16 Joch Haus und 4 Joch Neurissäckern, dann 1 Krautgarten, und der dabey befindlichen guten Einetz; desgleichen die Hofstatts behausung  24, sammt dabey befindlichen 2 Joch Neurissäckern und 1 Krautgarten, wie auch dazugehörigen Körnereinsetz, dann dem hierauf ra dizirten Zimmermeistersgewerb gewilliget, und hie zu der 16 Okober   vormittag um 9 Uhr mit dem Beysatze bestimmt worden, dass derjenige Theil des Licitationsbetrages, so gesetzmässig hier auf versichert werden kann, gegen ersten Satz, und 5 procentiger Jnteressen, durch 2 Jahre liegen ge lassen werde, der übrige Kaufschillingsbetrag aber sogleich in baaren bezahlt werden soll.']"
2576,2575,7,2575_beysteur_communiongebethern_stammerstorf_placenz,"['beysteur', 'communiongebethern', 'stammerstorf', 'placenz', 'berahtschlagen', 'zutritt', 'maillebois', 'nehmsten', 'gestatten', 'auszu']","['Hoheit in die Gegend von Stammerstorf auszu fahren; von wannen Sie des Abends zu ruk gekommen.', 'Morgen Abend Mess Beicht  Communiongebethern.', 'Künftigen Montag wird man anfangen, sich über die Beysteur gelder zu berahtschlagen.']"
2577,2576,7,2576_500_erforderung_credits_obbemelhten,"['500', 'erforderung', 'credits', 'obbemelhten', 'personalsteuer', 'auszü', 'czernewitz', 'northwendigkeit', 'oberamt', 'abererburccardischercuratormittlerweile250']","['Jm Rathe der 500 am  Sept. wurde ein Sendschreiben des Directoriums über die Personalsteuer gelesen, in welchem das Directorium anträgt, diese Steuer zu ver mindern, und den Ueberschuss des davon berechneten Betrags auf einem anderen Wege einzubringen.', 'Leinwat handler allhier, wegen überhäuften Schuldenlast mit seinem Vermögen zur Crida gediehen; da hero dann die Northwendigkeit erforderet, zu Vor nehmung deren diesfällig sammentlichen Credits partheyen eine Convocation anzuordnen; Zu wel chem Ende dann eine Tagsatzung  pro 1mo, 2do, &3tioperemptorio deren gewöhnlichen  Wochen, und  Tägen, von unten gesetztem Dato an gerechnet, auf dem   Rathhaus entweder persöhnlich, oder durch genugsam Bevollmächtig te alsogewiss zu erscheinen bestimmet haben, als im widrigen die ausbleibend, und sich in bestim ter Zeit nicht anmeldende Glaubigere mit ihren Sprüchen nicht mehr angehöret, sondern von des gedachten Johann Michael Aichinger vorhandenen Habschaft und Vermögen völlig ausgeschlossen, auch hieran nicht das geringste mehr bey ewigem Stillschweigen zu fordern haben sollen.', 'Jahrs hier Orts ergangenen Abhandlung und  respectiv e Liquidirungsverlass, nach vorläufig hindann gefertigt privilegirten Posten mit ihren angemel deten Forderungen aus Abgang einer weiteren Massa gänzlichen abgewiesen worden.Danun abererBurccardischerCuratormittlerweile250  welche unter obersagte Glaubigere zu reparti ren sind, eingebracht, und dahero zu Liquidirung ihrer gemeldeten Forderungen eine Erforderung auf den  künftigen Monats May Fruh um 9 Uhr bewirket, diese Erforderung hingegen ihnen obernannt Kriegsagent Buccardischen Credits partheyen ihres dermal unwissenden Aufenthalts aber behörig adædesaedes nicht zugestellet werden  Als wird demnach ihnen Eingangs ernannt Kriegs agent Burccardischen Glaubigeren, oder allen falls derenselben Erben oder Cessionarien besagte Erforderung zu dem Ende perEdictumadValvas intimiret, auf dass dieselbe vor diesem kais.']"
2578,2577,7,2577_arbeit_kriegsgefang_benahm_zuwerfen,"['arbeit', 'kriegsgefang', 'benahm', 'zuwerfen', '21305', 'meutlingen', 'viessiret', 'strek', 'emplacement', 'seesoldaten']","['Dieses benahm endlich den Meutlingen den Muth, dass sie sogleich die Waffen strek ten, und sich ergaben.', 'Der Feind liess durch  Arbeiter die erst ange fangene Arbeit, und die vorderste Linie des gestrigen Zickzacks rechter Hand zuwerfen, und drang bis an die beyden Batterien in dem Emplacement, wurde aber durch das Cartetschen und kleine Gewehr feuer so übel empfangen, das er sich in der grösten Geschwindigkeit mit Verlust von mehr als  Todten und Blessirten zurück zog, wo bey der Obriste Caldwell tödlich viessiret wurde, und einige Tage darauf starb.', 'Den  kam in Vor schlag, dem König für das künftige Jahr 100000 Matrosen, 21305 Seesoldaten mit darunter begriffen, und also 10000 mehr als in dem gegenwärtigen, zuzu stehen; welcher mit einer Mehrheit von 143 gegen 75 Stimmen durchgieng.']"
2579,2578,7,2578_juden_64801_abschä_flusshäuser,"['juden', '64801', 'abschä', 'flusshäuser', 'dawle', 'mayerhöfe', 'benannt', 'wohnhaus', 'jnwohnersübel', 'kuffe']","['Von dem     Waldamt wird hie mit bekannt gemacht: dass den  Juli   früh um 9 Uhr zu Mauerbach in dem Herr schafsgebäude verschiedene Haus und Wirth schafsgeräthschaften, als etwelche Sessel, Tische, alte und neue Getreidsäcke, altes Riem und Holzwerk, Schubkären, eine eisene grosse Schnelwag, blechene und kupferner Giesskannen, mehrere beschlagene Wagenräder und Axen eisene Fenstergitter, nebst einem halbgedeck ten 4sitzigen Pierutsch, einen Leiterwagen, ei nen kleinen Weinwagerl, einer Schlitten kuffe und einen Holzschlitten den Meistbieten den gegen baare Bezahlung werden hindan gegeben werden.| Licit.', 'Dessen Abschä zungswerth bestehet in 64801  25  bey diesem Gut befinden sich folgende Gebäude, als  a) ein Wohnhaus in Slaupno für den Beamten,  b) Bräuhaus im Markt Dawle, c) 3 Mayerhöfe benannt in Slaup, Masche tin und Domeck,  d) ein Judenhaus,  e) zwey Flusshäuser.', 'Dessen Abschä tzungswerth bestehet in 64801  25  bey diesem Gut befinden sich folgende Gebäude, als:  a) ein Wohnhaus inGlaupno für den Beamten,  b) Bräuhaus im Markt Dawle, c) 3 Mayerhöfe benannt in Slaue, MascheMaschetintinundDomeck,  d) ein Juden Haus,  e) zwey Flusshäuser.']"
2580,2579,7,2579_sobies_erfolgend_unverlässlich_teyn,"['sobies', 'erfolgend', 'unverlässlich', 'teyn', 'celcelle', 'geflissentliche', 'czerno', 'tirlemont', 'ausstecken', 'hierge']","['Den  haben unsere Galeren das Ort CelCelle| le beschossen, da inzwischen die 4 Kriegs Schif fe fortfuhren Varaggio zu bombardiren, von welchen beeden Orten sich die Jnwohner alle auf das Gebürg geflüchtet.', 'Den  dieses ist unsere Armee oh ne gemachten Rast Tag von Czerno witz aufgebrochen und nacher Sobies lau marschiret und ungeachtet dass unsere Husarn Vor Posten bey Teyn nur  Schritt von denen feindlichen gestanden so ware doch von dem Feind nichts zu sehen.', 'Der commandirende    erneuerte an der Stelle seine bereits ertheilte Befehle, an die Vor posten alle geflissentliche Beobachtungen auf des Feindes Bewegungen zu nehmen, damit man von erfolgend des selben Aufbruch nicht nur sogleich benachrichtiget seyn möchte, sondern auch schleunigst wis sen könne, wohin der Marsche genommen wurde, um hier Orts das Erforderliche hierge gen vorzukehren, wie dann in diesem Ende auch befohlen wurde, dass die Armee eine Stun de vor Tags sich Marsch fertig finden solle; vorgedachte Vermutung hat nun auch ganz unverlässlich eingetroffen,massen Den  gegen  Uhr fruh des commandirenden Generalens Excell.']"
2581,2580,7,2580_übers_übergangen__,"['übers', 'übergangen', '', '', '', '', '', '', '', '']","['übers.', 'übers.', 'übers.']"
2582,2581,7,2581_velquocunquealiotitulo_erbrecht_jure_regierungssekretärswitt,"['velquocunquealiotitulo', 'erbrecht', 'jure', 'regierungssekretärswitt', 'kuhin', 'untertapezierswittwe', 'truckmüller', 'truckmüllerischen', 'crediti', 'magistratualische']","['Von dem Magistrat der   Haupt und Re sidenzstadt Wien wird bekannt gemacht: es sey die Frau Eva Maria Theresia Gruberin, ge west kuhrsächsischen Lieutenants Wittib, mit Tode abgegangen, und daher, um mit der diesfälligen Verlassenschaftsabhandlung sicher fürgehen zu können, für nothwendig be funden worden, diejenige vorzuladen und an zuhören, welche an dieser Verlassenschaft entweder um Erbrecht, oder  jure crediti, velquocunquealiotitulo, Foderungen und Ansprüche machen könnten.', 'Von dem Magistrate der   Haupt und Residenzstadt Wien wird hiemit bekannt ge macht: Es sey über Absterben der Frau Bar bara Pedrossy,   Regierungssekretärswitt we, um mit der diesfälligen Verlassenschafts abhandlung sicher vorgehen zu können, für nothwendig befunden worden, diejenigen vor zuladen und anzuhören, welche an diese Ver lassenschaft entweder um Erbrecht, oder  jure crediti,velquocunquealiotitulo Sprüche und Anfoderungen machen könnten.', 'Von dem Magistrate der   Haupt und Residenzstadt Wien wird anmit kund gemacht: Es sey über Absterben der Magdalena Spen kuhin,   Untertapezierswittwe, um mit der Verlassenschaftsabhandlung sicher vorgehen zu können, für nothwendig befunden worden, die je nige vorzuladen und anzuhören, welche an diese Verlassenschaft entweder durch Erbrecht, oder jure crediti, vel quocunque alio  Ansprüche und Foderungen machen können.']"
2583,2582,7,2582_fahritii_gylanischen_husarnregimenthier_leiptz,"['fahritii', 'gylanischen', 'husarnregimenthier', 'leiptz', 'prändl', 'durchgegensternbergzupassiret', 'gerardens', 'messkunde', 'resarcitionis', 'verschönerung']","['1  40  Gerardens Verschönerung der Natur um Land wohnungen  Leiptz.', 'denegatædenegatae revisionis, nunc resarcitionis damnorum& Expensarum.', 'Gy 224| Gylanischen HusarnRegimenthier durchgegenSternbergzupassiret| Wien  Martii.']"
2584,2583,6,2583_schmids_buchdruck_bg_schindler,"['schmids', 'buchdruck', 'bg', 'schindler', 'schulmeister', 'franc', 'schneidermeist', 'schulz', 'schmid', 'braun']","['Dem   Braun, bg Schneidermeist.', 'Franz Schindler, Buchdruck.', 'Schmids( Franc. )']"
2585,2584,6,2584_laur___,"['laur', '', '', '', '', '', '', '', '', '']","['Laur.', 'Laur.', 'Laur.']"
2586,2585,6,2585_kaiserische_söhne_kaiserl_dem,"['kaiserische', 'söhne', 'kaiserl', 'dem', 'aus', 'von', '', '', '', '']","['Von dem Kaiserl.', 'Von dem Kaiserl.', 'Kaiserische Söhne.']"
2587,2586,6,2586_donnenberger_karlinger_taubenberg_zehl,"['donnenberger', 'karlinger', 'taubenberg', 'zehl', 'ersuch', 'koht', 'vormunder', 'schwerdhof', 'bühler', 'landschaftl']","['Bühler, contra die Vormunder der Bayer dorfischen Kinder &  a quo, appel.', 'Donnenberger, Lack,   Elisab., bey dem  Stern im Lerchenf., alt   Dem Franz Taubenberg, Lauf.,   Anna, beyn Huf  in der Koht gas, alt   Dem Wenzel Karlinger, Krebsen zehl.,   Andre, beym gold.', 'anher gediehene Ersuch schreiben, womit der in     liegende freye Schwerdhof zu Himberg, vermög des in Sachen des Franz Hermann, ni  landschaftl.']"
2588,2587,6,2587_perln_benefiz_raufern_nathlich,"['perln', 'benefiz', 'raufern', 'nathlich', 'stadtunterkammeramts', 'underkauft', 'karmesirt', 'belgien', 'aia', 'stahlenen']","['Als werden diejenige so gedachte Behausung und Zugehörde an sich zu bringen gedenken, an obbemeldten Tag und Stund in der domkapitlischen Amtskanzley im Zwetlhof nächst  Stephan zu erscheinen belie ben, wo sodann mit dem Meistbietenden geschlos sen und das Erforderliche fürgekehret werden solle.| Den  dieses Monats März und folgende Tä ge allzeit von  bis  Uhr, und nachmittag von  bis  Uhr in gemeiner StadtUnterkammeramts hause im 3ten Stock nächst dem burgerl.', 'Alle Gattung Hals ketten von stahlenen Perln, Ohrgehänge aIa Figaro von Perln, von Gold oder mir Stei nen karmesirt.', 'Und da in Belgien der Verkauf so schnell betrieben wird, dass die Verwalter mo nathlich dadurch 20, 000  an Benefiz gewinnen, so beschloss der Rath, dass ihre Remise vermindert werden soll.']"
2589,2588,6,2588_rosenberger_schutzjude_sandmayer_natan,"['rosenberger', 'schutzjude', 'sandmayer', 'natan', 'liechtmaneggerinn', 'zugethei', 'manegger', '21ster', 'granitzfestung', 'rauschmayerinn']","['Stadt Klosferneuburg werden die zwey von da gebürtige Gebrüdere Adam und Michael Licht manegger, welche sich schon vor etlich und 30 ge gen 40 Jahren unter das   Militaire, wovon aber der Regiments Namen unwiffend, begeben, oder aber deren Erben dergestalten fürgefodert, dass selbe binnen 1 Jahr, 6 Wochen und 3 Tägen, das ist den 21ster Juli 1774 auf gemeiner Stadt Rathhaus alsogewiss erscheinen sollen, als im wi drigen nach Ausgang dieses Termin sie nicht mehr gehöret, und ihre auf dem Peter Salamo nischen Haus liegende vätter und mütterliche Erbschaft der vorhanden leidlichen Schwester Ma ria Anna Liechtmaneggerinn, nun verehlichten Rauschmayerinn zugetheilet werden wurde.', '1771 fürgeweste Tagsa tzung veranlasst worden; dass vorläufig des Erb lassers Schwester Theresia Brasilicanin, so durch 35 Jahr abwesend seyn soll, oder ihre allenfalls vorhandene Leibserben durch ein öf fentliches Edikt citirt, und einberufen werden soll; als wird obbemeldter Theresia Brasilica nin, oder derselben Erben Kraft gegenwärtigen Edikts aufgetragen, dass dieselbe, oder ihre Erben innerhalb 1 Jahr 6 Wochen und 3 Täg in meiner    in der untern Beckenstras sen in der sogenannt Ballestrazischen Behausung  776 im ersten Stock habender Wohnung entweder selbst persönlich, oder durch genugsam Bevollmächtigte nebst Darthu und Mitbrin gung der behörigen Erbslegitimationsdokumen ten alsogewiss erscheinen, wie im widrigen die selbe promortuo gehalten, und derselben Er ben nicht mehr gehört, sondern obbemeldt Jo seph Brasilicanische Verlassenschaft den nächst legitimirenden Befreundten exofficio zugethei let werden soll.', 'Natan Sandmayer, Rosenberger Schutzjude, hat sich vor einem Jahr mit seiner ganzen Familie von hier entfernt, ohne zu wissen, wo er gegenwärtig seinen Aufenthaltsort  Da nun in seiner so langen Abwesenheit er weder die   Abgaben, noch die obrigkeitlichen Schuldigkeiten prästiret, über dies mehrere Gläubiger wider ihn bey dem obrig keitlichen Herrschaftsgerichte Klage geführt haben, welchen Fällen er Genugthuung leisten solle; so wird anmit von dem Rosenberger Herrschaftsamte gedachter mit einem Judenfamilienrecht in Rosenberg wohnhaft gewesene Schutzjude Natan Sandmayer dergestalt einberufen, dass er binnen 3 Monaten vom  August 1798 anzufangen, bey dem Herr schaftsamte zu Rosenberg um so sicherer zu erschei nen, und seine Ruckstände in Richtigkeit zu brin gen hat, als widrigens er nicht nur seines in Ro senberg habenden Familienrechts verlustiget seyn soll, und über sein hier befindliches Vermögen all jenes gerichtlich veranlasset werden wird, wozu die höch sten Gesetze gedachtes Rosenberger Gericht, und seine sämmtliche Creditores berechtigen.']"
2590,2589,6,2589_casset_arvieux_römerischen_gelobten,"['casset', 'arvieux', 'römerischen', 'gelobten', 'enserischen', 'lädlein', 'frauciscaner', 'bücherinnen', 'aufbutz', 'voncastellnuovo']","['von Bayern mit einem ansehnlichen Gefolg durch hiesige Stadt, ohne die gering ste Ehren Bezeigungen anzunehmen, passieret, und haben Dero Reise durch die obere Pfaltz nach denen Chur Sächsischen Gräntzen fortge setzet.| München  Augusti.', 'Buch bindern bey denen sieben Bücherinnen ne ben der grossen Press dass lädlein im Römerischen haus ist zu haben: Geistliche Frauen zier de dem andächtigen Frauen volk sowol auf alle Sonn und Feyer täg als auch in der wochen besonders aber bey der Beicht und  Communion zur Geistlichen aufbutz und zierde der Seelen.', 'Des Herrn  Arvieux merkwürdige Nachrich ten, worinnen sowol seine Reise nach Constanti nopel, in Asien, Syrien, dem gelobten Land, Egypten, und der Barbarey, als auch die Be schaffenheit dieser Länder; die Religion, Sitten, Gebräuche, und Handlung dieser Völker, nebst der Regierungs art und Begebenheiten   Theile, 8vo Copenhagen,     Bey den Verlegern des Wienerischen Diarii ist zu haben: Kurzer Unterricht von der Fürtreflichkeit und Nutzen des heiligsten Mess opfers, samt der Weis selben andächtigst beyzuwohnen, und die geistliche Communion zu verrichten, wie auch den heiligen Creutz weeg zu besuchen, in Welscher Sprach ver casset von  LeonardoàPortuMauritio, Fran ciscaner, und berühmten Apostolischen Missionario zu  Nunmehro aber zu grösserem Nu tzen von einem  Frauciscaner, Oesterreichischer Provinz in das Teutsche übersetzet.']"
2591,2590,6,2590_brandau_fliss_cæsariscaesaris_theoretiei,"['brandau', 'fliss', 'cæsariscaesaris', 'theoretiei', 'hofofficiers', 'obristkämmerer', 'nimirum', 'edelkna', 'feudalis', 'practici']","['Obristhofmeister Herr Graf von Ullefeld und Herr Fürst Kheven hüller, der Obristkämmerer Herr Graf von Salm und der Obristhofmarschall Herr Fürst von Schwarzenberg, und führten Jhn durch die zweyte Antecamera, vor deren Thüre Desselben Hofofficiers und Edelkna ben stehn blieben, in das geheime Raths zimmer und bis in die Retirade zur Audienz bey beyden Kaiserl und Kais.', 'Calvini  Lexicon Juridicum, Juris Nimirum CæsarisCaesaris simul& Canonici feudalis, item Civilis theoretiei ac practici,  Tomi,  Colon.', 'Cammerern Geheimben und Conferentz Raths wie auch Obristen Hof Meistern als dessen Herrn Vattern nicht weniger Jhrer Excellentz Herrn Grafen von Königseck ⁊ Stadthalter von Cölln mit dem Nahmen Wenceslaus Leopoldus Josephus Stanis laus getaufft worden; Wobey die hohen Paten Stell vertretten Jhre Excellenz Herr Wentzl Adalbert des   Reichs Graf von Sternberg ⁊ Ritter des guldenen Fliss der  Käyserl.']"
2592,2591,6,2591_schwachs_lessing_stark_,"['schwachs', 'lessing', 'stark', '', '', '', '', '', '', '']","['schwachS.', 'schwachS.', 'schwachS.']"
